Company,Scenario,RunID,ModelVersion,DataVersion,ScenarioNotes,Year,Units,MobilityRevenue,BusinessWirelineRevenue,ConsumerWirelineRevenue,LatinAmericaRevenue,OtherRevenue,Revenue,COGS,GrossProfit,SG&A,OtherOpEx,EBITDA,D&A,EBIT,BeginningDebt,AvgDebt,InterestRateApplied,InterestExpense,PretaxIncome,Taxes,NetIncome,ChangeInWorkingCapital,CFO,Capex,CFI,MandatoryDebtRepayment,OptionalDebtRepayment,NewBorrowing,NetDebtIssuance,Dividends,CFF,DeltaCash,Cash,AR,Inventory,OtherCurrentAssets,NetPPE,GoodwillIntangibles,OtherNonCurrentAssets,TotalAssets,AP,ShortTermDebt,LongTermDebt,TotalDebt,OtherLiabilities,TotalLiabilities,RetainedEarnings,Equity,TotalLiabilitiesAndEquity,BalanceSheetTieDelta,CashFlowTieDelta,PPE_RollForward_Check,Debt_RollForward_Check,RetainedEarnings_RollForward_Check,OtherLiabilities_PctRevenue,EBITDA_Margin,CFO_Margin,NetDebt_to_EBITDA,DiagnosticStatus
AT&T,base,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,2026,USD,92166460000.0,15766365000.0,14537574999.999998,4291420000.0,373000000.0,127134820000.0,73102521500.0,54032298500.0,29495278240.0,-20595840840.0,45132861100.0,20850110480.0,24282750620.0,173986000000.0,161382338837.59476,0.044,7100822908.854169,17181927711.145832,3522295180.7848954,13659632530.360937,24989418373.013695,59499161383.37463,20850110480.0,-20850110480.0,3479720000.0,21727602325.102486,0.0,-25207322325.102486,5190660361.537156,-30397982686.63964,8251068216.734993,26485068216.734993,9926965397.260275,4506319818.493151,18053144440.0,154201000000.0,67992210000.0,146742600000.0,427907307872.4884,65491848028.76712,7705474374.538765,141073203300.35876,148778677674.89752,94634810000.0,308905335703.6647,24236972168.823784,119001972168.82379,427907307872.48846,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910384,0.355,0.4680005161715306,2.7096356507777997,PASS
AT&T,base,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,2027,USD,94470621499.99998,14583887625.0,14828326499.999998,4205591600.0,373000000.0,128461427224.99998,73479936372.69998,54981490852.3,29674589688.975,-20553828355.999985,45860729519.32499,20939212637.675,24921516881.64999,148778677674.89752,140367266825.0446,0.044,6176159740.301962,18745357141.34803,3842798213.976346,14902558927.371685,25358083.132795334,35867129648.17948,20810751210.449997,-20810751210.449997,3719466941.8724384,13103354758.124023,0.0,-16822821699.996462,5662972392.40124,-22485794092.3977,-7429415654.668217,19055652562.066776,9854575239.178082,4428927671.779177,18113061238.724995,154072538572.77502,67312287900.0,146008887000.0,418845930184.52405,65427340605.82874,6834194809.868802,125121661165.03226,131955855974.90106,93221174900.00003,290604371480.72986,33476558703.794224,128241558703.79422,418845930184.52405,0.0,0.0,0.0,0.0,0.0,0.7256744449578884,0.357,0.2792054426217627,2.4618056580469334,PASS
AT&T,base,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,2028,USD,96360033929.99998,13635934929.375,15050751397.499996,4142507726.0,373000000.0,129562227982.87498,73850469950.23874,55711758032.636246,29799312436.06125,-20729956477.259995,46642402073.83499,20989080933.22575,25653321140.60924,131955855974.90106,125302408063.75487,0.044,5513305954.805214,20140015185.804028,4128703113.0898256,16011312072.714203,71485380.95763779,37071878386.8976,20729956477.26,-20729956477.26,3958675679.2470317,9348220143.378162,0.0,-13306895822.625195,6084298587.631397,-19391194410.25659,-3049272500.618992,16006380061.447784,9761537724.737156,4350096175.151049,18138711917.6025,153813414116.8093,66639165021.0,145278842565.0,413988147581.7478,65352607654.59483,6145010402.745956,112503949749.52992,118648960152.27588,91818007586.00006,275819575392.8708,43403572188.87703,138168572188.877,413988147581.7478,0.0,0.0,0.0,0.0,0.0,0.7086788257310317,0.36,0.2861318376818714,2.200628087900463,PASS
AT&T,downside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",2026,USD,87692360000.0,14904815000.0,13828425000.0,4072469999.9999995,354350000.0,120852420000.0,70215256020.0,50637163980.0,28400318700.0,-19215534780.0,41452380060.0,19819796880.0,21632583180.0,173986000000.0,164235183456.01,0.047,7719053622.43247,13913529557.56753,2852273559.3013434,11061255998.266186,22697235357.287674,53578288235.55386,19215534780.0,-19215534780.0,2609790000.0,16891843088.106358,0.0,-19501633088.106358,4203277279.3411508,-23704910367.44751,10657843088.106354,28891843088.106354,9933075616.438356,4520708264.30137,17161043639.999998,153596737900.0,67992210000.0,146742600000.0,428838218508.84607,62328062878.0274,8000980712.488785,146483386199.40485,154484366911.89365,94634809999.99998,311447239789.921,22625978718.925034,117390978718.92503,428838218508.84607,0.0,0.0,0.0,0.0,0.0,0.7830609432562458,0.343,0.4433364945075478,3.0298024779759123,PASS
AT&T,downside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",2027,USD,85500051000.0,13041713125.0,13413572250.0,3787397099.9999995,336632500.0,116079365975.0,67093873533.549995,48985492441.450005,27162571638.15,-18224460458.074997,40047381261.375,18920936653.925,21126444607.45,154484366911.89365,147440664620.40912,0.047,6929711237.159228,14196733370.290771,2910330340.909608,11286403029.381165,-1500352287.7929497,28706987395.513214,18224460458.075,-18224460458.075,3089687338.237873,10997717244.878023,0.0,-14087404583.115896,4288833151.1648426,-18376237734.28074,-7893710796.842522,20998132291.263832,9381756976.061644,4227833126.7716436,16367190602.474998,152900261704.15002,67312287900.0,146008887000.0,417196349600.72217,59189663774.80301,7271372567.589439,133125589761.1883,140396962328.77774,93221174900.00009,292807801003.5808,29623548597.141357,124388548597.14136,417196349600.72217,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.8030813583189034,0.345,0.24730482592139447,2.9814391422560256,PASS
AT&T,downside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",2028,USD,82935049470.0,11541916115.625,12944097221.25,3541216288.4999995,319800875.0,111282079970.375,64098478062.936,47183601907.439,25928724633.097378,-17471286555.348873,38726163829.6905,18027696955.200752,20698466874.489746,140396962328.77774,135056585856.48792,0.047,6347659535.254932,14350807339.234814,2941915504.5431366,11408891834.691677,-1389314252.7921977,28047274537.10023,17248722395.408123,-17248722395.408123,3509924058.2194433,7170828886.532192,0.0,-10680752944.751637,4335378897.1828375,-15016131841.934475,-4217579700.2423706,16780552591.021461,8841589915.454453,3951276044.9755063,15579491195.8525,152121287144.3574,66639165021.0,145278842565.0,409192204477.6613,56195925972.984985,6718200100.924553,122998009283.10156,129716209384.02611,91818007586.0,277730142943.0111,36697061534.6502,131462061534.6502,409192204477.6613,0.0,3.814697265625e-06,0.0,0.0,0.0,0.8250924821897953,0.348,0.2520376555198002,2.9162624340916348,PASS
AT&T,upside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",2026,USD,96640560000.0,16627915000.0,15246725000.0,4510370000.0,391650000.0,133417220000.0,76047815400.0,57369404600.0,30685960600.0,-22013841300.0,48697285300.0,21880424080.0,26816861220.0,173986000000.0,158380398430.6054,0.041999999999999996,6651976734.085426,20164884485.914574,4133801319.6124873,16031083166.302086,26950277438.90411,64861784685.20619,22280675740.0,-22280675740.0,4349650000.0,26861553139.407978,0.0,-31211203139.407978,6091811603.194793,-37303014742.60277,5278094202.603424,23512094202.603424,10051982328.767124,4583703941.917809,18945245240.0,154601251660.0,67992210000.0,146742600000.0,426429087373.2883,68547208949.58904,7394524240.518171,135380272620.07384,142774796860.592,94634809999.99997,305956815810.181,25707271563.107292,120472271563.1073,426429087373.2883,0.0,0.0,0.0,0.0,0.0,0.7093148095875478,0.365,0.4861575191358821,2.4490626515065426,PASS
AT&T,upside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",2027,USD,103888602000.0,16212217125.0,16313995750.0,4645681100.0,411232500.0,141471728475.0,80214470045.325,61257258429.675,32397025820.775,-23059891741.424995,51920124350.325,23059891741.425,28860232608.899998,142774796860.592,133067184383.67747,0.041999999999999996,5588821744.114453,23271410864.785545,4770639227.281036,18500771637.50451,1759589476.317563,43320252855.24707,23342835198.375,-23342835198.375,4283243905.8177605,15131981048.554512,0.0,-19415224954.372272,7030293222.251714,-26445518176.623985,-6468100519.751915,17043993682.85151,10465031969.383562,4724961934.176679,19947513714.975,154884195116.95,67312287900.0,146008887000.0,420386871318.3368,71863374533.75691,6388980161.892027,116970591744.32773,123359571906.21976,93221174900.00006,288444121339.97675,37177749978.360085,131942749978.36008,420386871318.3368,0.0,0.0,0.0,0.0,0.0,0.6589385448589717,0.367,0.3062113775113899,2.0476757240798626,PASS
AT&T,upside,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",2028,USD,111160804140.0,15969033868.125,17374405473.75,4808279938.5,431794125.0,149744317545.375,84605539413.13687,65138778132.23813,34141704400.3455,-24408323759.896122,55405397491.78875,24258579442.35075,31146818049.438,123359571906.21976,115020029903.16296,0.041999999999999996,4830841255.932844,26315976793.505157,5394775242.668557,20921201550.8366,1904064427.4427319,47083845420.63008,24408323759.896126,-24408323759.896126,4317585016.717691,12361498990.039892,0.0,-16679084006.757584,7950056589.317908,-24629140596.075493,-1953618935.3415375,15090374747.509972,10871847712.19846,4867715966.235272,20964204456.3525,155033939434.4954,66639165021.0,145278842565.0,418746089902.7916,75333699477.45064,5525144991.332944,101155342908.12923,106680487899.46217,91818007586.00006,273832194962.91287,50148894939.87878,144913894939.87878,418746089902.7916,0.0,0.0,0.0,0.0,0.0,0.613165221165589,0.37,0.3144282614020589,1.6530900832455204,PASS
AT&T,energy_cost_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",2026,USD,92166460000.0,15766365000.0,14537574999.999998,4291420000.0,373000000.0,127134820000.0,74373869700.0,52760950300.0,30003817520.000004,-20087301559.999996,42844434339.99999,20850110480.0,21994323859.999992,173986000000.0,164184325906.7542,0.044,7224110339.897185,14770213520.102806,3027893771.621075,11742319748.481731,26050036254.931503,58642466483.41324,21104380120.0,-21104380120.0,3479720000.0,16123628186.54558,0.0,-19603348186.545578,4462081504.423058,-24065429690.968636,13472656672.444603,31706656672.444603,9926965397.260275,4584690597.945206,18053144440.0,154455269640.0,67992210000.0,146742600000.0,433461536747.6501,66630836690.136986,7995712732.582149,146386939080.87225,154382651813.4544,94634810000.00005,315648298503.59143,23048238244.058674,117813238244.05867,433461536747.6501,0.0,0.0,0.0,0.0,0.0,0.7443657842910388,0.33699999999999997,0.4612620404340309,2.8632889436114755,PASS
AT&T,energy_cost_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",2027,USD,94470621499.99998,14583887625.0,14828326499.999998,4205591600.0,373000000.0,128461427224.99998,74764550644.94998,53696876580.05,30188435397.875,-20039982647.09999,43548423829.274994,20939212637.675,22609211191.599995,154382651813.4544,146523842495.4582,0.044,6447049069.80016,16162162121.799835,3313243234.968966,12848918886.83087,31146021.740327835,33819277546.246193,21067674064.899998,-21067674064.899998,3859566295.3363605,11858052340.729359,0.0,-15717618636.06572,4882589176.99573,-20600207813.06145,-7848604331.715252,23858052340.72935,9854575239.178082,4506356477.229862,18113061238.724995,154583731067.225,67312287900.0,146008887000.0,424236951263.0873,66571175231.80477,7181673318.321298,131483359859.06737,138665033177.38867,93221174900.00005,298457383309.1935,31014567953.89381,125779567953.89381,424236951263.0873,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7256744449578885,0.33899999999999997,0.2632640651501698,2.6363062251516314,PASS
AT&T,energy_cost_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",2028,USD,96360033929.99998,13635934929.375,15050751397.499996,4142507726.0,373000000.0,129562227982.87498,75146092230.06749,54416135752.807495,30317561347.99275,-20211707565.328495,44310281970.14324,20989080933.22575,23321201036.917492,138665033177.38867,132073942953.14632,0.044,5811253489.938437,17509947546.979053,3589539247.130706,13920408299.848347,75299060.07165909,34984788293.14575,20989080933.22575,-20989080933.22575,4159950995.32166,9022229453.261927,0.0,-13182180448.583588,5289755153.942371,-18471935602.52596,-4476228242.605957,19381824098.123394,9761537724.737156,4426413651.908085,18138711917.6025,154583731067.225,66639165021.0,145278842565.0,418210226045.5961,66499144630.991234,6498948110.41844,118983904618.38664,125482852728.80508,91818007586.00005,283800004945.7964,39645221099.79979,134410221099.79979,418210226045.5962,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7086788257310316,0.34199999999999997,0.2700230525348013,2.394501319178554,PASS
AT&T,interest_rate_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",2026,USD,92166460000.0,15766365000.0,14537574999.999998,4291420000.0,373000000.0,127134820000.0,73102521500.0,54032298500.0,29495278240.0,-20341571200.0,44878591460.0,20850110480.0,24028480980.0,173986000000.0,165692375981.47473,0.059,9775850182.90701,14252630797.09299,2921789313.4040627,11330841483.688929,24989418373.013695,57170370336.70262,20850110480.0,-20850110480.0,3479720000.0,13107528037.16033,0.0,-16587248037.16033,4305719763.801793,-20892967800.962124,15427292055.740498,33661292055.740498,9926965397.260275,4506319818.493151,18053144440.0,154201000000.0,67992210000.0,146742600000.0,435083531711.4939,65491848028.76712,8151921154.214409,149246830808.62524,157398751962.83966,94634810000.00002,317525409991.6068,22793121719.887135,117558121719.88713,435083531711.49396,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910386,0.353,0.44968302418411116,2.757160059655294,PASS
AT&T,interest_rate_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",2027,USD,94470621499.99998,14583887625.0,14828326499.999998,4205591600.0,373000000.0,128461427224.99998,73479936372.69998,54981490852.3,29674589688.975,-20296905501.549988,45603806664.87499,20939212637.675,24664594027.199993,157398751962.83966,150105044760.5754,0.059,8856197640.87395,15808396386.326044,3240721259.196839,12567675127.129206,25358083.132795334,33532245847.937004,20810751210.449997,-20810751210.449997,3934968799.0709915,10652445605.63134,0.0,-14587414404.702332,4775716548.309098,-19363130953.01143,-6641636315.524418,27019655740.21608,9854575239.178082,4428927671.779177,18113061238.724995,154072538572.77502,67312287900.0,146008887000.0,426809933362.67334,65427340605.82874,7396416738.912186,135414920819.22514,142811337558.13733,93221174900.00003,301459853063.96606,30585080298.707245,125350080298.70724,426809933362.67334,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7256744449578884,0.355,0.2610296847255584,2.539079306883967,PASS
AT&T,interest_rate_strain,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",2028,USD,96360033929.99998,13635934929.375,15050751397.499996,4142507726.0,373000000.0,129562227982.87498,73850469950.23874,55711758032.636246,29799312436.06125,-20470832021.294243,46383277617.86924,20989080933.22575,25394196684.64349,142811337558.13733,136264164192.1554,0.059,8039585687.337168,17354610997.30632,3557695254.4477954,13796915742.858524,71485380.95763779,34857482057.041916,20729956477.26,-20729956477.26,4284340126.7441196,8810006605.48382,0.0,-13094346732.22794,5242827982.28624,-18337174714.51418,-4209649134.732258,22810006605.48382,9761537724.737156,4350096175.151049,18138711917.6025,153813414116.8093,66639165021.0,145278842565.0,420791774125.7838,65352607654.59483,6718240572.990181,122998750252.91922,129716990825.9094,91818007586.00005,286887606066.5043,39139168059.279526,133904168059.27953,420791774125.7838,0.0,-3.814697265625e-06,0.0,0.0,0.0,0.7086788257310316,0.358,0.2690404649544097,2.30486049522381,PASS
AT&T,custom,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,2026,USD,92166460000.0,15766365000.0,14537574999.999998,4291420000.0,373000000.0,127134820000.0,73102521500.0,54032298500.0,29495278240.0,-20595840840.0,45132861100.0,20850110480.0,24282750620.0,173986000000.0,161382338837.59476,0.044,7100822908.854169,17181927711.145832,3522295180.7848954,13659632530.360937,24989418373.013695,59499161383.37463,20850110480.0,-20850110480.0,3479720000.0,21727602325.102486,0.0,-25207322325.102486,5190660361.537156,-30397982686.63964,8251068216.734993,26485068216.734993,9926965397.260275,4506319818.493151,18053144440.0,154201000000.0,67992210000.0,146742600000.0,427907307872.4884,65491848028.76712,7705474374.538765,141073203300.35876,148778677674.89752,94634810000.0,308905335703.6647,24236972168.823784,119001972168.82379,427907307872.48846,-6.103515625e-05,0.0,0.0,0.0,0.0,0.7443657842910384,0.355,0.4680005161715306,2.7096356507777997,PASS
AT&T,custom,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,2027,USD,94470621499.99998,14583887625.0,14828326499.999998,4205591600.0,373000000.0,128461427224.99998,73479936372.69998,54981490852.3,29674589688.975,-20553828355.999985,45860729519.32499,20939212637.675,24921516881.64999,148778677674.89752,140367266825.0446,0.044,6176159740.301962,18745357141.34803,3842798213.976346,14902558927.371685,25358083.132795334,35867129648.17948,20810751210.449997,-20810751210.449997,3719466941.8724384,13103354758.124023,0.0,-16822821699.996462,5662972392.40124,-22485794092.3977,-7429415654.668217,19055652562.066776,9854575239.178082,4428927671.779177,18113061238.724995,154072538572.77502,67312287900.0,146008887000.0,418845930184.52405,65427340605.82874,6834194809.868802,125121661165.03226,131955855974.90106,93221174900.00003,290604371480.72986,33476558703.794224,128241558703.79422,418845930184.52405,0.0,0.0,0.0,0.0,0.0,0.7256744449578884,0.357,0.2792054426217627,2.4618056580469334,PASS
AT&T,custom,ATT_20260415_202355_UTC,att_capstone_v6_dashboard_backend,T_quarterly_statements.xlsx,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,2028,USD,96360033929.99998,13635934929.375,15050751397.499996,4142507726.0,373000000.0,129562227982.87498,73850469950.23874,55711758032.636246,29799312436.06125,-20729956477.259995,46642402073.83499,20989080933.22575,25653321140.60924,131955855974.90106,125302408063.75487,0.044,5513305954.805214,20140015185.804028,4128703113.0898256,16011312072.714203,71485380.95763779,37071878386.8976,20729956477.26,-20729956477.26,3958675679.2470317,9348220143.378162,0.0,-13306895822.625195,6084298587.631397,-19391194410.25659,-3049272500.618992,16006380061.447784,9761537724.737156,4350096175.151049,18138711917.6025,153813414116.8093,66639165021.0,145278842565.0,413988147581.7478,65352607654.59483,6145010402.745956,112503949749.52992,118648960152.27588,91818007586.00006,275819575392.8708,43403572188.87703,138168572188.877,413988147581.7478,0.0,0.0,0.0,0.0,0.0,0.7086788257310317,0.36,0.2861318376818714,2.200628087900463,PASS
