Year,Scenario,ScenarioNotes,RunID,SelectedByDashboard,DashboardScenarioRequest,AssumptionName,AssumptionValue
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.03
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.025
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.02
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,-0.020000000000000004
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,-0.025
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,-0.030000000000000002
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.08
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.07500000000000001
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.07
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.03
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.025
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.02
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.03
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.025
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,MobilityGrowth,0.02
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,MobilityGrowth,0.03
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,MobilityGrowth,0.025
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,MobilityGrowth,0.02
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.085
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.075
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.065
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.135
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.125
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.115
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.035
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.024999999999999994
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.015
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.085
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.075
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.065
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.085
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.075
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,BusinessWirelineGrowth,-0.065
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,BusinessWirelineGrowth,-0.085
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,BusinessWirelineGrowth,-0.075
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,BusinessWirelineGrowth,-0.065
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.025
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.02
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.015
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,-0.025
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,-0.030000000000000002
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,-0.035
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.07500000000000001
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.07
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.065
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.025
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.02
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.015
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.025
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.02
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,ConsumerWirelineGrowth,0.015
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,ConsumerWirelineGrowth,0.025
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,ConsumerWirelineGrowth,0.02
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,ConsumerWirelineGrowth,0.015
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.015
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.07
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.07
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.065
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,0.030000000000000002
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,0.030000000000000002
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,0.035
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.015
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.02
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,LatinAmericaGrowth,-0.015
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,LatinAmericaGrowth,-0.02
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,LatinAmericaGrowth,-0.02
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,LatinAmericaGrowth,-0.015
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,-0.05
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,-0.05
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,-0.05
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.05
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.05
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.05
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,OtherRevenueGrowth,0.0
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,OtherRevenueGrowth,0.0
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,OtherRevenueGrowth,0.0
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,OtherRevenueGrowth,0.0
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.355
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.357
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.36
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.34299999999999997
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.345
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.348
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.365
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.367
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.37
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.33699999999999997
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.33899999999999997
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.34199999999999997
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.353
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.355
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,EBITDA_Margin,0.358
2026,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,EBITDA_Margin,0.355
2027,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,EBITDA_Margin,0.357
2028,custom,User-customizable scenario from the CUSTOM_OVERRIDES dictionary.,ATT_20260415_202355_UTC,True,custom,EBITDA_Margin,0.36
2026,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.164
2027,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.163
2028,base,Reference case using segment-led revenue growth and normalized AT&T financial ratios.,ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.162
2026,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.164
2027,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.163
2028,downside,"Revenue growth cut by 5 percentage points versus base, with softer margins, weaker working capital, and reduced debt paydown capacity.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.162
2026,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.164
2027,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.163
2028,upside,"Revenue growth boosted by 5 percentage points versus base, with better mix, margins, and faster deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.162
2026,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.164
2027,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.163
2028,energy_cost_strain,"Higher energy and operating input costs compress margin, weaken EBITDA/CFO, and slow deleveraging.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.162
2026,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.164
2027,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.163
2028,interest_rate_strain,"Higher rates increase interest burden and preserve more liquidity, pressuring earnings and leverage.",ATT_20260415_202355_UTC,False,custom,DandA_PctRevenue,0.162
